fato;filhosJuntos;tempoJuntos;diaSemana;periodo;idade;possuiProfissao;escolaridade;tipoLocal;qtdRegAnt
LESAO CORPORAL DOLOSA , AMEACA , INJURIA ;S;24;Quinta-feira;TARDE;26;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;S;60;Quarta-feira;TARDE;30;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;S;30;Quarta-feira;NOITE;35;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;N;228;Domingo;TARDE;63;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;84;Quinta-feira;MANHA;27;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;300;Quarta-feira;MANHA;40;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;S;48;Sábado;TARDE;26;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;N;18;Quarta-feira;NOITE;39;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;S;156;Quarta-feira;NOITE;27;S;SUPERIOR;RESIDENCIA;Mais_que_3_registros
INJURIA ;S;456;Terça-feira;TARDE;56;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA ;S;60;Quarta-feira;NOITE;39;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;N;15;Quarta-feira;TARDE;18;N;FUNDAMENTAL;RESIDENCIA;Mais_que_3_registros
LESAO CORPORAL DOLOSA , INJURIA ;N;3;Quarta-feira;NOITE;30;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;96;Quarta-feira;NOITE;45;S;FUNDAMENTAL;RESIDENCIA;Mais_que_3_registros
DIFAMACAO ;S;180;Quarta-feira;MANHA;35;S;MEDIO;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;N;144;Quarta-feira;NOITE;29;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , INJURIA ;N;3;Quarta-feira;NOITE;36;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
VIAS DE FATO ;S;3;Quarta-feira;NOITE;28;N;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;S;108;Terça-feira;TARDE;22;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;60;Quarta-feira;NOITE;32;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , VIAS DE FATO ;N;1;Quarta-feira;TARDE;35;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , VIAS DE FATO ;S;48;Quinta-feira;MANHA;18;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA ;S;108;Terça-feira;MANHA;39;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;S;240;Sábado;TARDE;41;N;FUNDAMENTAL;RESIDENCIA;Mais_que_3_registros
AMEACA ;N;8;Terça-feira;NOITE;35;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;S;36;Domingo;MANHA;27;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;S;72;Terça-feira;NOITE;28;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA REAL ;S;60;Segunda-feira;NOITE;23;N;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA ;S;84;Sábado;NOITE;41;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;S;192;Terça-feira;TARDE;52;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
VIAS DE FATO ;N;8;Sexta-feira;NOITE;39;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA , APROPRIACAO INDEBITA ;N;12;Segunda-feira;NOITE;37;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;240;Terça-feira;TARDE;41;S;SUPERIOR;RESIDENCIA;Mais_que_3_registros
INJURIA ;N;24;Sexta-feira;NOITE;23;N;SUPERIOR;POSTO DE COMBUSTIVEL;Entre_1_e_3_registros
INJURIA ;S;48;Segunda-feira;NOITE;21;S;MEDIO;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;S;216;Segunda-feira;MANHA;35;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;S;36;Terça-feira;MANHA;24;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;180;Segunda-feira;TARDE;34;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;S;168;Domingo;TARDE;39;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;N;3;Segunda-feira;NOITE;18;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA ;S;48;Domingo;NOITE;24;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA REAL ;N;168;Segunda-feira;TARDE;49;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;S;156;Terça-feira;NOITE;38;N;FUNDAMENTAL;FRIGORIFICO / ABATEDOURO;Entre_1_e_3_registros
INJURIA ;S;252;Segunda-feira;MANHA;39;S;SUPERIOR;RESIDENCIA;Mais_que_3_registros
AMEACA , INJURIA ;S;96;Domingo;NOITE;34;N;MEDIO;RESIDENCIA;Mais_que_3_registros
AMEACA , INJURIA REAL ;S;36;Segunda-feira;TARDE;26;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;96;Domingo;NOITE;21;N;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
